key,pressed,released,user,hold_time,press_press_time,press_release_time,release_release_time
[space],2021-10-20 11:19:03.202340,2021-10-20 11:19:03.292757,zihao,90417.0,357574.0,267157.0,443915.0
t,2021-10-20 11:19:03.559914,2021-10-20 11:19:03.736672,zihao,176758.0,147950.0,-28808.0,100353.0
h,2021-10-20 11:19:03.707864,2021-10-20 11:19:03.837025,zihao,129161.0,106172.0,-22989.0,132234.0
a,2021-10-20 11:19:03.814036,2021-10-20 11:19:03.969259,zihao,155223.0,170763.0,15540.0,167306.0
t,2021-10-20 11:19:03.984799,2021-10-20 11:19:04.136565,zihao,151766.0,207716.0,55950.0,206943.0
[space],2021-10-20 11:19:04.192515,2021-10-20 11:19:04.343508,zihao,150993.0,190951.0,39958.0,202457.0
c,2021-10-20 11:19:04.383466,2021-10-20 11:19:04.545965,zihao,162499.0,117004.0,-45495.0,34336.0
o,2021-10-20 11:19:04.500470,2021-10-20 11:19:04.580301,zihao,79831.0,33830.0,-46001.0,103777.0
n,2021-10-20 11:19:04.534300,2021-10-20 11:19:04.684078,zihao,149778.0,294021.0,144243.0,299182.0
t,2021-10-20 11:19:04.828321,2021-10-20 11:19:04.983260,zihao,154939.0,207317.0,52378.0,173928.0
i,2021-10-20 11:19:05.035638,2021-10-20 11:19:05.157188,zihao,121550.0,38698.0,-82852.0,44174.0
a,2021-10-20 11:19:05.074336,2021-10-20 11:19:05.201362,zihao,127026.0,328065.0,201039.0,341091.0
[backspace],2021-10-20 11:19:05.402401,2021-10-20 11:19:05.542453,zihao,140052.0,563210.0,423158.0,590523.0
[backspace],2021-10-20 11:19:05.965611,2021-10-20 11:19:06.132976,zihao,167365.0,171529.0,4164.0,127157.0
a,2021-10-20 11:19:06.137140,2021-10-20 11:19:06.260133,zihao,122993.0,161937.0,38944.0,172634.0
i,2021-10-20 11:19:06.299077,2021-10-20 11:19:06.432767,zihao,133690.0,176816.0,43126.0,176332.0
n,2021-10-20 11:19:06.475893,2021-10-20 11:19:06.609099,zihao,133206.0,143896.0,10690.0,183121.0
s,2021-10-20 11:19:06.619789,2021-10-20 11:19:06.792220,zihao,172431.0,382158.0,209727.0,331896.0
[space],2021-10-20 11:19:07.001947,2021-10-20 11:19:07.124116,zihao,122169.0,395356.0,273187.0,401517.0
e,2021-10-20 11:19:07.397303,2021-10-20 11:19:07.525633,zihao,128330.0,278473.0,150143.0,288181.0
v,2021-10-20 11:19:07.675776,2021-10-20 11:19:07.813814,zihao,138038.0,114793.0,-23245.0,178411.0
e,2021-10-20 11:19:07.790569,2021-10-20 11:19:07.992225,zihao,201656.0,140227.0,-61429.0,71440.0
r,2021-10-20 11:19:07.930796,2021-10-20 11:19:08.063665,zihao,132869.0,293986.0,161117.0,294359.0
y,2021-10-20 11:19:08.224782,2021-10-20 11:19:08.358024,zihao,133242.0,184563.0,51321.0,184300.0
[space],2021-10-20 11:19:08.409345,2021-10-20 11:19:08.542324,zihao,132979.0,163112.0,30133.0,174472.0
l,2021-10-20 11:19:08.572457,2021-10-20 11:19:08.716796,zihao,144339.0,115342.0,-28997.0,133136.0
e,2021-10-20 11:19:08.687799,2021-10-20 11:19:08.849932,zihao,162133.0,144012.0,-18121.0,88163.0
t,2021-10-20 11:19:08.831811,2021-10-20 11:19:08.938095,zihao,106284.0,162400.0,56116.0,177894.0
t,2021-10-20 11:19:08.994211,2021-10-20 11:19:09.115989,zihao,121778.0,137087.0,15309.0,166587.0
e,2021-10-20 11:19:09.131298,2021-10-20 11:19:09.282576,zihao,151278.0,84705.0,-66573.0,71372.0
