user,hold_time,press_press_time,press_release_time
zineb,134191.4,364676.0,230484.6
zineb,63428.5,104368.625,40940.125
zineb,57813.0,108411.0,50598.0
zineb,69706.90476190476,157506.7619047619,87799.85714285714
zineb,74337.2,120578.2,46241.0
zineb,63666.333333333336,93783.0,30116.666666666668
zineb,43715.0,84244.0,40529.0
zineb,79882.88888888889,133906.77777777778,54023.88888888889
zineb,62169.6,80826.6,18657.0
zineb,84180.88888888889,82762.66666666667,-1418.2222222222222
zineb,86821.16666666667,162580.0,75758.83333333333
zineb,70047.71428571429,93199.85714285714,23152.14285714286
zineb,56862.0,77813.0,20951.0
zineb,57380.5,85227.5,27847.0
zineb,63872.38461538462,135344.76923076922,71472.38461538461
zineb,70047.0,117090.33333333333,47043.333333333336
zineb,66672.33333333333,89585.0,22912.666666666668
zineb,100357.71428571429,118254.71428571429,17897.0
zineb,71284.75,119361.75,48077.0
zineb,81733.6,151496.4,69762.8
zineb,102205.14285714286,92858.28571428571,-9346.857142857143
zineb,71970.625,155223.75,83253.125
zineb,65600.0,134953.33333333334,69353.33333333333
zineb,71260.55555555556,98815.22222222222,27554.666666666668
zineb,63649.0,129637.75,65988.75
zineb,78078.14285714286,143407.85714285713,65329.71428571428
zineb,75706.8,104445.2,28738.4
zineb,79680.14285714286,93586.85714285714,13906.714285714286
zineb,90397.4,108243.0,17845.6
zineb,68124.75,83382.25,15257.5
zineb,75717.33333333333,113740.33333333333,38023.0
zineb,62610.166666666664,102608.83333333333,39998.666666666664
zineb,66042.75,163672.75,97630.0
zineb,87191.0,128286.0,41095.0
zineb,89444.4,83993.2,-5451.2
zineb,68491.75,90607.25,22115.5
zineb,76181.0,98768.2,22587.2
zineb,65852.0,109972.75,44120.75
zineb,86722.66666666667,101934.16666666667,15211.5
zineb,63213.5,105724.0,42510.5
zineb,62404.0,104344.4,41940.4
zineb,62759.8,109019.4,46259.6
zineb,54014.0,84680.33333333333,30666.333333333332
zineb,66466.0,98559.8,32093.8
zineb,85411.85714285714,101815.0,16403.14285714286
zineb,74396.9,143464.8,69067.9
zineb,86364.83333333333,75293.16666666667,-11071.666666666666
zineb,62520.333333333336,110247.0,47726.666666666664
zineb,63904.833333333336,103033.16666666667,39128.333333333336
zineb,67330.75,125450.5,58119.75
zineb,81265.4,133257.4,51992.0
zineb,172246.7142857143,262859.71428571426,90613.0
zineb,105110.14285714286,255288.0,150177.85714285713
zineb,70845.16666666667,250889.5,180044.33333333334
zineb,86091.3,89328.8,3237.5
zineb,68474.75,72363.5,3888.75
zineb,58233.0,114307.25,56074.25
zineb,71599.0,202335.6923076923,130736.69230769231
zineb,60941.4,287789.8,226848.4
zineb,69265.25,102379.5,33114.25
zineb,71827.5,95136.875,23309.375
zineb,68492.25,85594.0,17101.75
zineb,83516.88888888889,171041.88888888888,87525.0
zineb,79004.33333333333,93251.83333333333,14247.5
zineb,66988.0,305187.5,238199.5
zineb,73181.35714285714,132641.2857142857,59459.92857142857
zineb,73766.33333333333,87100.16666666667,13333.833333333334
zineb,66650.0,180654.0,114004.0
zineb,75593.375,195883.75,120290.375
zineb,77618.5,182823.0,105204.5
zineb,78676.55555555556,205029.44444444444,126352.88888888889
zineb,89057.0,107618.66666666667,18561.666666666668
zineb,72836.0,137710.9,64874.9
zineb,87019.9,86317.3,-702.6
zineb,82787.5,87798.07142857143,5010.571428571428
zineb,86588.4,72657.0,-13931.4
zineb,77154.5,65863.0,-11291.5
zineb,99936.6,104783.2,4846.6
zineb,71139.0,148440.16666666666,77301.16666666667
zineb,59745.0,93178.8,33433.8
zineb,75152.0,147250.4,72098.4
zineb,73000.5,127115.625,64366.0
