user,hold_time,press_press_time,press_release_time
zihao,165657.0,281566.8181818182,115909.81818181818
zihao,131622.9,213613.0,81990.1
zihao,130849.0,234386.0,103537.0
zihao,147674.75,179827.25,32152.5
zihao,135058.53333333333,183675.13333333333,48616.6
zihao,132019.75,263898.5,131878.75
zihao,143582.2,185191.4,41609.2
zihao,137925.55555555556,185076.88888888888,47151.333333333336
zihao,139780.66666666666,284297.3333333333,144516.66666666666
zihao,144872.77777777778,320068.3333333333,175195.55555555556
zihao,146817.5,171571.25,24753.75
zihao,121364.25,165984.5,44620.25
zihao,114121.75,321028.25,206906.5
zihao,121928.66666666667,329576.5,207647.83333333334
zihao,132275.75,120277.0,-11998.75
zihao,133756.85714285713,190832.42857142858,57075.57142857143
zihao,132540.0,241004.75,108464.75
zihao,129216.09090909091,279323.2727272727,150107.18181818182
zihao,126402.0,254639.25,128237.25
zihao,129625.63636363637,228237.36363636365,98611.72727272728
zihao,136743.6,386447.8,249704.2
zihao,123635.7,281586.4,157950.7
zihao,134687.5,166749.25,32061.75
zihao,132959.3,145635.5,12676.2
zihao,134411.66666666666,156786.0,22374.333333333332
zihao,126847.55555555556,278434.8888888889,151587.33333333334
zihao,127214.0,188202.25,90946.25
