key,pressed,released,user,hold_time,press_press_time,press_release_time,release_release_time
t,2021-10-20 10:37:06.619486,2021-10-20 10:37:06.722194,stefan,102708.0,113966.0,11258.0,106245.0
h,2021-10-20 10:37:06.733452,2021-10-20 10:37:06.828439,stefan,94987.0,227502.0,132515.0,242752.0
[space],2021-10-20 10:37:06.960954,2021-10-20 10:37:07.071191,stefan,110237.0,166612.0,56375.0,188180.0
a,2021-10-20 10:37:07.127566,2021-10-20 10:37:07.259371,stefan,131805.0,163762.0,31957.0,101688.0
l,2021-10-20 10:37:07.291328,2021-10-20 10:37:07.361059,stefan,69731.0,180219.0,110488.0,189871.0
[backspace],2021-10-20 10:37:07.471547,2021-10-20 10:37:07.550930,stefan,79383.0,162291.0,82908.0,162202.0
[backspace],2021-10-20 10:37:07.633838,2021-10-20 10:37:07.713132,stefan,79294.0,138032.0,58738.0,154281.0
[backspace],2021-10-20 10:37:07.771870,2021-10-20 10:37:07.867413,stefan,95543.0,131153.0,35610.0,158621.0
e,2021-10-20 10:37:07.903023,2021-10-20 10:37:08.026034,stefan,123011.0,101320.0,-21691.0,85973.0
[space],2021-10-20 10:37:08.004343,2021-10-20 10:37:08.112007,stefan,107664.0,113079.0,5415.0,133172.0
a,2021-10-20 10:37:08.117422,2021-10-20 10:37:08.245179,stefan,127757.0,122769.0,-4988.0,219413.0
p,2021-10-20 10:37:08.240191,2021-10-20 10:37:08.464592,stefan,224401.0,133642.0,-90759.0,37899.0
l,2021-10-20 10:37:08.373833,2021-10-20 10:37:08.502491,stefan,128658.0,464694.0,336036.0,452560.0
[backspace],2021-10-20 10:37:08.838527,2021-10-20 10:37:08.955051,stefan,116524.0,265281.0,148757.0,250051.0
[backspace],2021-10-20 10:37:09.103808,2021-10-20 10:37:09.205102,stefan,101294.0,219533.0,118239.0,236520.0
l,2021-10-20 10:37:09.323341,2021-10-20 10:37:09.441622,stefan,118281.0,175705.0,57424.0,146920.0
p,2021-10-20 10:37:09.499046,2021-10-20 10:37:09.588542,stefan,89496.0,233291.0,143795.0,235145.0
h,2021-10-20 10:37:09.732337,2021-10-20 10:37:09.823687,stefan,91350.0,166648.0,75298.0,208258.0
a,2021-10-20 10:37:09.898985,2021-10-20 10:37:10.031945,stefan,132960.0,232895.0,99935.0,200672.0
b,2021-10-20 10:37:10.131880,2021-10-20 10:37:10.232617,stefan,100737.0,117726.0,16989.0,128192.0
e,2021-10-20 10:37:10.249606,2021-10-20 10:37:10.360809,stefan,111203.0,127577.0,16374.0,96323.0
t,2021-10-20 10:37:10.377183,2021-10-20 10:37:10.457132,stefan,79949.0,152339.0,72390.0,183973.0
[space],2021-10-20 10:37:10.529522,2021-10-20 10:37:10.641105,stefan,111583.0,84798.0,-26785.0,91350.0
a,2021-10-20 10:37:10.614320,2021-10-20 10:37:10.732455,stefan,118135.0,296381.0,178246.0,274499.0
t,2021-10-20 10:37:10.910701,2021-10-20 10:37:11.006954,stefan,96253.0,112875.0,16622.0,117833.0
[space],2021-10-20 10:37:11.023576,2021-10-20 10:37:11.124787,stefan,101211.0,221596.0,120385.0,210946.0
l,2021-10-20 10:37:11.245172,2021-10-20 10:37:11.335733,stefan,90561.0,42059.0,-48502.0,96208.0
e,2021-10-20 10:37:11.287231,2021-10-20 10:37:11.431941,stefan,144710.0,184901.0,40191.0,205079.0
a,2021-10-20 10:37:11.472132,2021-10-20 10:37:11.637020,stefan,164888.0,100963.0,-63925.0,80644.0
s,2021-10-20 10:37:11.573095,2021-10-20 10:37:11.717664,stefan,144569.0,96685.0,-47884.0,58779.0
t,2021-10-20 10:37:11.669780,2021-10-20 10:37:11.776443,stefan,106663.0,156840.0,50177.0,150803.0
[space],2021-10-20 10:37:11.826620,2021-10-20 10:37:11.927246,stefan,100626.0,194752.0,94126.0,291813.0
o,2021-10-20 10:37:12.021372,2021-10-20 10:37:12.219059,stefan,197687.0,124549.0,-73138.0,54385.0
n,2021-10-20 10:37:12.145921,2021-10-20 10:37:12.273444,stefan,127523.0,244638.0,117115.0,287468.0
c,2021-10-20 10:37:12.390559,2021-10-20 10:37:12.560912,stefan,170353.0,95160.0,-75193.0,79689.0
e,2021-10-20 10:37:12.485719,2021-10-20 10:37:12.640601,stefan,154882.0,717617.0,562735.0,647504.0
[space],2021-10-20 10:37:13.203336,2021-10-20 10:37:13.288105,stefan,84769.0,195335.0,110566.0,297664.0
[shift],2021-10-20 10:37:13.398671,2021-10-20 10:37:13.585769,stefan,187098.0,124221.0,-62877.0,10662.0
t,2021-10-20 10:37:13.522892,2021-10-20 10:37:13.596431,stefan,73539.0,176214.0,102675.0,192796.0
h,2021-10-20 10:37:13.699106,2021-10-20 10:37:13.789227,stefan,90121.0,85675.0,-4446.0,118293.0
e,2021-10-20 10:37:13.784781,2021-10-20 10:37:13.907520,stefan,122739.0,112405.0,-10334.0,64444.0
[space],2021-10-20 10:37:13.897186,2021-10-20 10:37:13.971964,stefan,74778.0,174803.0,100025.0,260888.0
m,2021-10-20 10:37:14.071989,2021-10-20 10:37:14.232852,stefan,160863.0,96551.0,-64312.0,20433.0
o,2021-10-20 10:37:14.168540,2021-10-20 10:37:14.253285,stefan,84745.0,79722.0,-5023.0,113385.0
s,2021-10-20 10:37:14.248262,2021-10-20 10:37:14.366670,stefan,118408.0,153267.0,34859.0,98770.0
t,2021-10-20 10:37:14.401529,2021-10-20 10:37:14.465440,stefan,63911.0,1107338.0,1043427.0,1144842.0
[space],2021-10-20 10:37:15.508867,2021-10-20 10:37:15.610282,stefan,101415.0,558244.0,456829.0,606756.0
f,2021-10-20 10:37:16.067111,2021-10-20 10:37:16.217038,stefan,149927.0,85909.0,-64018.0,86067.0
a,2021-10-20 10:37:16.153020,2021-10-20 10:37:16.303105,stefan,150085.0,155316.0,5231.0,181835.0
m,2021-10-20 10:37:16.308336,2021-10-20 10:37:16.484940,stefan,176604.0,106805.0,-69799.0,165929.0
o,2021-10-20 10:37:16.415141,2021-10-20 10:37:16.650869,stefan,235728.0,176306.0,-59422.0,58102.0
u,2021-10-20 10:37:16.591447,2021-10-20 10:37:16.708971,stefan,117524.0,112917.0,-4607.0,91612.0
t,2021-10-20 10:37:16.704364,2021-10-20 10:37:16.800583,stefan,96219.0,106847.0,10628.0,122939.0
[space],2021-10-20 10:37:16.811211,2021-10-20 10:37:16.923522,stefan,112311.0,814957.0,702646.0,772138.0
[backspace],2021-10-20 10:37:17.626168,2021-10-20 10:37:17.695660,stefan,69492.0,142340.0,72848.0,147768.0
[backspace],2021-10-20 10:37:17.768508,2021-10-20 10:37:17.843428,stefan,74920.0,58965.0,-15955.0,96768.0
s,2021-10-20 10:37:17.827473,2021-10-20 10:37:17.940196,stefan,112723.0,164903.0,52180.0,137856.0
[space],2021-10-20 10:37:17.992376,2021-10-20 10:37:18.078052,stefan,85676.0,1483197.0,1397521.0,1488642.0
p,2021-10-20 10:37:19.475573,2021-10-20 10:37:19.566694,stefan,91121.0,653590.0,562469.0,653195.0
a,2021-10-20 10:37:20.129163,2021-10-20 10:37:20.219889,stefan,90726.0,134200.0,43474.0,144641.0
n,2021-10-20 10:37:20.263363,2021-10-20 10:37:20.364530,stefan,101167.0,215796.0,114629.0,194853.0
g,2021-10-20 10:37:20.479159,2021-10-20 10:37:20.559383,stefan,80224.0,156099.0,75875.0,160557.0
r,2021-10-20 10:37:20.635258,2021-10-20 10:37:20.719940,stefan,84682.0,109167.0,24485.0,141696.0
a,2021-10-20 10:37:20.744425,2021-10-20 10:37:20.861636,stefan,117211.0,160971.0,43760.0,134503.0
m,2021-10-20 10:37:20.905396,2021-10-20 10:37:20.996139,stefan,90743.0,228565.0,137822.0,223050.0
[space],2021-10-20 10:37:21.133961,2021-10-20 10:37:21.219189,stefan,85228.0,153815.0,68587.0,154903.0
i,2021-10-20 10:37:21.287776,2021-10-20 10:37:21.374092,stefan,86316.0,80384.0,-5932.0,106588.0
s,2021-10-20 10:37:21.368160,2021-10-20 10:37:21.480680,stefan,112520.0,91552.0,-20968.0,80568.0
[space],2021-10-20 10:37:21.459712,2021-10-20 10:37:21.561248,stefan,101536.0,233566.0,132030.0,227951.0
p,2021-10-20 10:37:21.693278,2021-10-20 10:37:21.789199,stefan,95921.0,222063.0,126142.0,206472.0
o,2021-10-20 10:37:21.915341,2021-10-20 10:37:21.995671,stefan,80330.0,207487.0,127157.0,196740.0
b,2021-10-20 10:37:22.122828,2021-10-20 10:37:22.192411,stefan,69583.0,709866.0,640283.0,698956.0
[backspace],2021-10-20 10:37:22.832694,2021-10-20 10:37:22.891367,stefan,58673.0,138146.0,79473.0,159992.0
[backspace],2021-10-20 10:37:22.970840,2021-10-20 10:37:23.051359,stefan,80519.0,107091.0,26572.0,160968.0
r,2021-10-20 10:37:23.077931,2021-10-20 10:37:23.212327,stefan,134396.0,129196.0,-5200.0,101407.0
o,2021-10-20 10:37:23.207127,2021-10-20 10:37:23.313734,stefan,106607.0,246374.0,139767.0,230174.0
b,2021-10-20 10:37:23.453501,2021-10-20 10:37:23.543908,stefan,90407.0,125174.0,34767.0,146383.0
a,2021-10-20 10:37:23.578675,2021-10-20 10:37:23.690291,stefan,111616.0,101675.0,-9941.0,91799.0
b,2021-10-20 10:37:23.680350,2021-10-20 10:37:23.782090,stefan,101740.0,285221.0,183481.0,273688.0
l,2021-10-20 10:37:23.965571,2021-10-20 10:37:24.055778,stefan,90207.0,255820.0,165613.0,257084.0
y,2021-10-20 10:37:24.221391,2021-10-20 10:37:24.312862,stefan,91471.0,197155.0,105684.0,207152.0
[space],2021-10-20 10:37:24.418546,2021-10-20 10:37:24.520014,stefan,101468.0,218955.0,117487.0,217304.0
t,2021-10-20 10:37:24.637501,2021-10-20 10:37:24.737318,stefan,99817.0,58170.0,-41647.0,81258.0
h,2021-10-20 10:37:24.695671,2021-10-20 10:37:24.818576,stefan,122905.0,188264.0,65359.0,166849.0
e,2021-10-20 10:37:24.883935,2021-10-20 10:37:24.985425,stefan,101490.0,69588.0,-31902.0,64328.0
[space],2021-10-20 10:37:24.953523,2021-10-20 10:37:25.049753,stefan,96230.0,217236.0,121006.0,211830.0
l,2021-10-20 10:37:25.170759,2021-10-20 10:37:25.261583,stefan,90824.0,335928.0,245104.0,324958.0
[backspace],2021-10-20 10:37:25.506687,2021-10-20 10:37:25.586541,stefan,79854.0,715088.0,635234.0,725703.0
t,2021-10-20 10:37:26.221775,2021-10-20 10:37:26.312244,stefan,90469.0,63500.0,-26969.0,155451.0
h,2021-10-20 10:37:26.285275,2021-10-20 10:37:26.467695,stefan,182420.0,107532.0,-74888.0,64190.0
i,2021-10-20 10:37:26.392807,2021-10-20 10:37:26.531885,stefan,139078.0,215016.0,75938.0,193289.0
r,2021-10-20 10:37:26.607823,2021-10-20 10:37:26.725174,stefan,117351.0,341387.0,224036.0,314920.0
t,2021-10-20 10:37:26.949210,2021-10-20 10:37:27.040094,stefan,90884.0,239409.0,148525.0,191481.0
y,2021-10-20 10:37:27.188619,2021-10-20 10:37:27.231575,stefan,42956.0,905850.0,862894.0,964145.0
[space],2021-10-20 10:37:28.094469,2021-10-20 10:37:28.195720,stefan,101251.0,268235.0,166984.0,252862.0
f,2021-10-20 10:37:28.362704,2021-10-20 10:37:28.448582,stefan,85878.0,64636.0,-21242.0,85506.0
i,2021-10-20 10:37:28.427340,2021-10-20 10:37:28.534088,stefan,106748.0,153340.0,46592.0,175089.0
v,2021-10-20 10:37:28.580680,2021-10-20 10:37:28.709177,stefan,128497.0,64609.0,-63888.0,69642.0
e,2021-10-20 10:37:28.645289,2021-10-20 10:37:28.778819,stefan,133530.0,80099.0,-53431.0,32001.0
[space],2021-10-20 10:37:28.725388,2021-10-20 10:37:28.810820,stefan,85432.0,195569.0,110137.0,195936.0
