key,pressed,released,user,hold_time,press_press_time,press_release_time,release_release_time
e,2021-10-20 10:12:12.025683,2021-10-20 10:12:12.150632,Alex,124949.0,124949.0,0.0,124883.0
n,2021-10-20 10:12:12.150632,2021-10-20 10:12:12.275515,Alex,124883.0,109353.0,-15530.0,187550.0
c,2021-10-20 10:12:12.259985,2021-10-20 10:12:12.463065,Alex,203080.0,171847.0,-31233.0,140590.0
e,2021-10-20 10:12:12.431832,2021-10-20 10:12:12.603655,Alex,171823.0,109327.0,-62496.0,93734.0
[space],2021-10-20 10:12:12.541159,2021-10-20 10:12:12.697389,Alex,156230.0,328071.0,171841.0,281186.0
t,2021-10-20 10:12:12.869230,2021-10-20 10:12:12.978575,Alex,109345.0,109345.0,0.0,109252.0
a,2021-10-20 10:12:12.978575,2021-10-20 10:12:13.087827,Alex,109252.0,78090.0,-31162.0,78208.0
h,2021-10-20 10:12:13.056665,2021-10-20 10:12:13.166035,Alex,109370.0,171751.0,62381.0,203065.0
t,2021-10-20 10:12:13.228416,2021-10-20 10:12:13.369100,Alex,140684.0,78190.0,-62494.0,62492.0
[space],2021-10-20 10:12:13.306606,2021-10-20 10:12:13.431592,Alex,124986.0,218718.0,93732.0,156085.0
[backspace],2021-10-20 10:12:13.525324,2021-10-20 10:12:13.587677,Alex,62353.0,156214.0,93861.0,156339.0
[backspace],2021-10-20 10:12:13.681538,2021-10-20 10:12:13.744016,Alex,62478.0,140574.0,78096.0,140598.0
[backspace],2021-10-20 10:12:13.822112,2021-10-20 10:12:13.884614,Alex,62502.0,140603.0,78101.0,140583.0
[backspace],2021-10-20 10:12:13.962715,2021-10-20 10:12:14.025197,Alex,62482.0,171839.0,109357.0,218696.0
h,2021-10-20 10:12:14.134554,2021-10-20 10:12:14.243893,Alex,109339.0,93722.0,-15617.0,156220.0
a,2021-10-20 10:12:14.228276,2021-10-20 10:12:14.400113,Alex,171837.0,93713.0,-78124.0,109343.0
t,2021-10-20 10:12:14.321989,2021-10-20 10:12:14.509456,Alex,187467.0,109372.0,-78095.0,62487.0
[space],2021-10-20 10:12:14.431361,2021-10-20 10:12:14.571943,Alex,140582.0,468502.0,327920.0,437398.0
c,2021-10-20 10:12:14.899863,2021-10-20 10:12:15.009341,Alex,109478.0,62617.0,-46861.0,93603.0
o,2021-10-20 10:12:14.962480,2021-10-20 10:12:15.102944,Alex,140464.0,78100.0,-62364.0,62510.0
n,2021-10-20 10:12:15.040580,2021-10-20 10:12:15.165454,Alex,124874.0,124874.0,0.0,109374.0
t,2021-10-20 10:12:15.165454,2021-10-20 10:12:15.274828,Alex,109374.0,78090.0,-31284.0,93707.0
a,2021-10-20 10:12:15.243544,2021-10-20 10:12:15.368535,Alex,124991.0,62596.0,-62395.0,109448.0
i,2021-10-20 10:12:15.306140,2021-10-20 10:12:15.477983,Alex,171843.0,78118.0,-93725.0,62354.0
n,2021-10-20 10:12:15.384258,2021-10-20 10:12:15.540337,Alex,156079.0,140588.0,-15491.0,156347.0
s,2021-10-20 10:12:15.524846,2021-10-20 10:12:15.696684,Alex,171838.0,109356.0,-62482.0,62481.0
[space],2021-10-20 10:12:15.634202,2021-10-20 10:12:15.759165,Alex,124963.0,187447.0,62484.0,205447.0
e,2021-10-20 10:12:15.821649,2021-10-20 10:12:15.964612,Alex,142963.0,142963.0,0.0,140587.0
v,2021-10-20 10:12:15.964612,2021-10-20 10:12:16.105199,Alex,140587.0,124990.0,-15597.0,156226.0
e,2021-10-20 10:12:16.089602,2021-10-20 10:12:16.261425,Alex,171823.0,140584.0,-31239.0,46864.0
r,2021-10-20 10:12:16.230186,2021-10-20 10:12:16.308289,Alex,78103.0,171819.0,93716.0,171839.0
y,2021-10-20 10:12:16.402005,2021-10-20 10:12:16.480128,Alex,78123.0,484279.0,406156.0,515501.0
[space],2021-10-20 10:12:16.886284,2021-10-20 10:12:16.995629,Alex,109345.0,265546.0,156201.0,281182.0
l,2021-10-20 10:12:17.151830,2021-10-20 10:12:17.276811,Alex,124981.0,93742.0,-31239.0,109342.0
e,2021-10-20 10:12:17.245572,2021-10-20 10:12:17.386153,Alex,140581.0,109345.0,-31236.0,62496.0
t,2021-10-20 10:12:17.354917,2021-10-20 10:12:17.448649,Alex,93732.0,156215.0,62483.0,156202.0
t,2021-10-20 10:12:17.511132,2021-10-20 10:12:17.604851,Alex,93719.0,62481.0,-31238.0,218703.0
e,2021-10-20 10:12:17.573613,2021-10-20 10:12:17.823554,Alex,249941.0,140599.0,-109342.0,15622.0
r,2021-10-20 10:12:17.714212,2021-10-20 10:12:17.839176,Alex,124964.0,78103.0,-46861.0,81970.0
[space],2021-10-20 10:12:17.792315,2021-10-20 10:12:17.921146,Alex,128831.0,316213.0,187382.0,343568.0
o,2021-10-20 10:12:18.108528,2021-10-20 10:12:18.264714,Alex,156186.0,140650.0,-15536.0,109451.0
f,2021-10-20 10:12:18.249178,2021-10-20 10:12:18.374165,Alex,124987.0,78123.0,-46864.0,78095.0
[space],2021-10-20 10:12:18.327301,2021-10-20 10:12:18.452260,Alex,124959.0,140580.0,15621.0,124982.0
t,2021-10-20 10:12:18.467881,2021-10-20 10:12:18.577242,Alex,109361.0,124982.0,15621.0,156080.0
h,2021-10-20 10:12:18.592863,2021-10-20 10:12:18.733322,Alex,140459.0,124960.0,-15499.0,125110.0
e,2021-10-20 10:12:18.717823,2021-10-20 10:12:18.858432,Alex,140609.0,62500.0,-78109.0,62478.0
[space],2021-10-20 10:12:18.780323,2021-10-20 10:12:18.920910,Alex,140587.0,437404.0,296817.0,437398.0
a,2021-10-20 10:12:19.217727,2021-10-20 10:12:19.358308,Alex,140581.0,109340.0,-31241.0,78106.0
l,2021-10-20 10:12:19.327067,2021-10-20 10:12:19.436414,Alex,109347.0,203080.0,93733.0,171836.0
p,2021-10-20 10:12:19.530147,2021-10-20 10:12:19.608250,Alex,78103.0,203079.0,124976.0,249946.0
h,2021-10-20 10:12:19.733226,2021-10-20 10:12:19.858196,Alex,124970.0,124970.0,0.0,171721.0
a,2021-10-20 10:12:19.858196,2021-10-20 10:12:20.029917,Alex,171721.0,234318.0,62597.0,187561.0
b,2021-10-20 10:12:20.092514,2021-10-20 10:12:20.217478,Alex,124964.0,140581.0,15617.0,218599.0
e,2021-10-20 10:12:20.233095,2021-10-20 10:12:20.436077,Alex,202982.0,124983.0,-77999.0,62571.0
t,2021-10-20 10:12:20.358078,2021-10-20 10:12:20.498648,Alex,140570.0,93717.0,-46853.0,78123.0
[space],2021-10-20 10:12:20.451795,2021-10-20 10:12:20.576771,Alex,124976.0,140492.0,15516.0,171821.0
a,2021-10-20 10:12:20.592287,2021-10-20 10:12:20.748592,Alex,156305.0,109449.0,-46856.0,78123.0
t,2021-10-20 10:12:20.701736,2021-10-20 10:12:20.826715,Alex,124979.0,124979.0,0.0,135748.0
[space],2021-10-20 10:12:20.826715,2021-10-20 10:12:20.962463,Alex,135748.0,135748.0,0.0,124970.0
l,2021-10-20 10:12:20.962463,2021-10-20 10:12:21.087433,Alex,124970.0,93862.0,-31108.0,124977.0
e,2021-10-20 10:12:21.056325,2021-10-20 10:12:21.212410,Alex,156085.0,93719.0,-62366.0,62480.0
a,2021-10-20 10:12:21.150044,2021-10-20 10:12:21.274890,Alex,124846.0,109362.0,-15484.0,140719.0
s,2021-10-20 10:12:21.259406,2021-10-20 10:12:21.415609,Alex,156203.0,171824.0,15621.0,170237.0
t,2021-10-20 10:12:21.431230,2021-10-20 10:12:21.585846,Alex,154616.0,100089.0,-54527.0,56968.0
[space],2021-10-20 10:12:21.531319,2021-10-20 10:12:21.642814,Alex,111495.0,80115.0,-31380.0,171820.0
