key,pressed,released,user,hold_time,press_press_time,press_release_time
[backspace],2021-11-25 17:30:48.763489,2021-11-25 17:30:48.858176,zihao,94687.0,1395874.0,1301187.0
[backspace],2021-11-25 17:30:50.159363,2021-11-25 17:30:50.287691,zihao,128328.0,235647.0,107319.0
[backspace],2021-11-25 17:30:50.395010,2021-11-25 17:30:50.513079,zihao,118069.0,254814.0,136745.0
i,2021-11-25 17:30:50.649824,2021-11-25 17:30:50.771256,zihao,121432.0,141479.0,20047.0
n,2021-11-25 17:30:50.791303,2021-11-25 17:30:50.926494,zihao,135191.0,201250.0,66059.0
g,2021-11-25 17:30:50.992553,2021-11-25 17:30:51.110072,zihao,117519.0,406198.0,288679.0
[backspace],2021-11-25 17:30:51.398751,2021-11-25 17:30:51.512015,zihao,113264.0,142059.0,28795.0
[backspace],2021-11-25 17:30:51.540810,2021-11-25 17:30:51.642171,zihao,101361.0,141483.0,40122.0
[backspace],2021-11-25 17:30:51.682293,2021-11-25 17:30:51.782227,zihao,99934.0,488980.0,389046.0
n,2021-11-25 17:30:52.171273,2021-11-25 17:30:52.277364,zihao,106091.0,198482.0,92391.0
g,2021-11-25 17:30:52.369755,2021-11-25 17:30:52.469785,zihao,100030.0,236011.0,135981.0
[space],2021-11-25 17:30:52.605766,2021-11-25 17:30:52.689245,zihao,83479.0,374416.0,290937.0
[backspace],2021-11-25 17:30:52.980182,2021-11-25 17:30:53.113231,zihao,133049.0,98272.0,-34777.0
s,2021-11-25 17:30:53.078454,2021-11-25 17:30:53.201384,zihao,122930.0,158937.0,36007.0
[space],2021-11-25 17:30:53.237391,2021-11-25 17:30:53.331692,zihao,94301.0,133945.0,39644.0
t,2021-11-25 17:30:53.371336,2021-11-25 17:30:53.532407,zihao,161071.0,463335.0,302264.0
[backspace],2021-11-25 17:30:53.834671,2021-11-25 17:30:53.961113,zihao,126442.0,517019.0,390577.0
",",2021-11-25 17:30:54.351690,2021-11-25 17:30:54.453054,zihao,101364.0,190033.0,88669.0
[space],2021-11-25 17:30:54.541723,2021-11-25 17:30:54.621166,zihao,79443.0,98285.0,18842.0
w,2021-11-25 17:30:54.640008,2021-11-25 17:30:54.784451,zihao,144443.0,54026.0,-90417.0
o,2021-11-25 17:30:54.694034,2021-11-25 17:30:54.823100,zihao,129066.0,105449.0,-23617.0
u,2021-11-25 17:30:54.799483,2021-11-25 17:30:54.912529,zihao,113046.0,184144.0,71098.0
l,2021-11-25 17:30:54.983627,2021-11-25 17:30:55.112712,zihao,129085.0,150070.0,20985.0
d,2021-11-25 17:30:55.133697,2021-11-25 17:30:55.290248,zihao,156551.0,422615.0,266064.0
[space],2021-11-25 17:30:55.556312,2021-11-25 17:30:55.661417,zihao,105105.0,195262.0,90157.0
b,2021-11-25 17:30:55.751574,2021-11-25 17:30:55.876988,zihao,125414.0,121425.0,-3989.0
e,2021-11-25 17:30:55.872999,2021-11-25 17:30:56.001959,zihao,128960.0,132959.0,3999.0
[space],2021-11-25 17:30:56.005958,2021-11-25 17:30:56.095746,zihao,89788.0,326521.0,236733.0
a,2021-11-25 17:30:56.332479,2021-11-25 17:30:56.466611,zihao,134132.0,223284.0,89152.0
[space],2021-11-25 17:30:56.555763,2021-11-25 17:30:56.678990,zihao,123227.0,369916.0,246689.0
p,2021-11-25 17:30:56.925679,2021-11-25 17:30:57.153801,zihao,228122.0,144092.0,-84030.0
e,2021-11-25 17:30:57.069771,2021-11-25 17:30:57.231802,zihao,162031.0,88031.0,-74000.0
r,2021-11-25 17:30:57.157802,2021-11-25 17:30:57.269865,zihao,112063.0,169411.0,57348.0
s,2021-11-25 17:30:57.327213,2021-11-25 17:30:57.494692,zihao,167479.0,228529.0,61050.0
i,2021-11-25 17:30:57.555742,2021-11-25 17:30:57.690134,zihao,134392.0,105405.0,-28987.0
s,2021-11-25 17:30:57.661147,2021-11-25 17:30:57.805021,zihao,143874.0,192835.0,48961.0
t,2021-11-25 17:30:57.853982,2021-11-25 17:30:57.976262,zihao,122280.0,165392.0,43112.0
e,2021-11-25 17:30:58.019374,2021-11-25 17:30:58.171472,zihao,152098.0,28027.0,-124071.0
n,2021-11-25 17:30:58.047401,2021-11-25 17:30:58.174472,zihao,127071.0,320163.0,193092.0
t,2021-11-25 17:30:58.367564,2021-11-25 17:30:58.494592,zihao,127028.0,188023.0,60995.0
[space],2021-11-25 17:30:58.555587,2021-11-25 17:30:58.697341,zihao,141754.0,212866.0,71112.0
s,2021-11-25 17:30:58.768453,2021-11-25 17:30:58.902461,zihao,134008.0,76120.0,-57888.0
o,2021-11-25 17:30:58.844573,2021-11-25 17:30:58.978519,zihao,133946.0,67888.0,-66058.0
u,2021-11-25 17:30:58.912461,2021-11-25 17:30:59.033699,zihao,121238.0,154236.0,32998.0
r,2021-11-25 17:30:59.066697,2021-11-25 17:30:59.183026,zihao,116329.0,210377.0,94048.0
c,2021-11-25 17:30:59.277074,2021-11-25 17:30:59.434929,zihao,157855.0,133855.0,-24000.0
e,2021-11-25 17:30:59.410929,2021-11-25 17:30:59.555455,zihao,144526.0,117485.0,-27041.0
[space],2021-11-25 17:30:59.528414,2021-11-25 17:30:59.651435,zihao,123021.0,208471.0,85450.0
o,2021-11-25 17:30:59.736885,2021-11-25 17:30:59.870281,zihao,133396.0,415040.0,281644.0
f,2021-11-25 17:31:00.151925,2021-11-25 17:31:00.294959,zihao,143034.0,138033.0,-5001.0
[space],2021-11-25 17:31:00.289958,2021-11-25 17:31:00.414352,zihao,124394.0,192464.0,68070.0
c,2021-11-25 17:31:00.482422,2021-11-25 17:31:00.650673,zihao,168251.0,150357.0,-17894.0
o,2021-11-25 17:31:00.632779,2021-11-25 17:31:00.749704,zihao,116925.0,60892.0,-56033.0
n,2021-11-25 17:31:00.693671,2021-11-25 17:31:00.821809,zihao,128138.0,191160.0,63022.0
t,2021-11-25 17:31:00.884831,2021-11-25 17:31:00.996939,zihao,112108.0,211087.0,98979.0
r,2021-11-25 17:31:01.095918,2021-11-25 17:31:01.212015,zihao,116097.0,144082.0,27985.0
o,2021-11-25 17:31:01.240000,2021-11-25 17:31:01.363355,zihao,123355.0,165210.0,41855.0
v,2021-11-25 17:31:01.405210,2021-11-25 17:31:01.561516,zihao,156306.0,199348.0,43042.0
e,2021-11-25 17:31:01.604558,2021-11-25 17:31:01.766548,zihao,161990.0,149990.0,-12000.0
r,2021-11-25 17:31:01.754548,2021-11-25 17:31:01.872041,zihao,117493.0,188125.0,70632.0
s,2021-11-25 17:31:01.942673,2021-11-25 17:31:02.081691,zihao,139018.0,67022.0,-71996.0
y,2021-11-25 17:31:02.009695,2021-11-25 17:31:02.132805,zihao,123110.0,180181.0,57071.0
[space],2021-11-25 17:31:02.189876,2021-11-25 17:31:02.297876,zihao,108000.0,105000.0,-3000.0
a,2021-11-25 17:31:02.294876,2021-11-25 17:31:02.395179,zihao,100303.0,105288.0,4985.0
n,2021-11-25 17:31:02.400164,2021-11-25 17:31:02.518662,zihao,118498.0,105843.0,-12655.0
d,2021-11-25 17:31:02.506007,2021-11-25 17:31:02.641809,zihao,135802.0,110817.0,-24985.0
[space],2021-11-25 17:31:02.616824,2021-11-25 17:31:02.701110,zihao,84286.0,170420.0,86134.0
b,2021-11-25 17:31:02.787244,2021-11-25 17:31:02.905308,zihao,118064.0,162070.0,44006.0
o,2021-11-25 17:31:02.949314,2021-11-25 17:31:03.077308,zihao,127994.0,696775.0,568781.0
[backspace],2021-11-25 17:31:03.646089,2021-11-25 17:31:03.757100,zihao,111011.0,165133.0,54122.0
[backspace],2021-11-25 17:31:03.811222,2021-11-25 17:31:03.923518,zihao,112296.0,195700.0,83404.0
h,2021-11-25 17:31:04.006922,2021-11-25 17:31:04.135002,zihao,128080.0,170079.0,41999.0
o,2021-11-25 17:31:04.177001,2021-11-25 17:31:04.291417,zihao,114416.0,111417.0,-2999.0
t,2021-11-25 17:31:04.288418,2021-11-25 17:31:04.412281,zihao,123863.0,177893.0,54030.0
[space],2021-11-25 17:31:04.466311,2021-11-25 17:31:04.562597,zihao,96286.0,158300.0,62014.0
t,2021-11-25 17:31:04.624611,2021-11-25 17:31:04.734987,zihao,110376.0,160456.0,50080.0
a,2021-11-25 17:31:04.785067,2021-11-25 17:31:04.892114,zihao,107047.0,68045.0,-39002.0
k,2021-11-25 17:31:04.853112,2021-11-25 17:31:04.987176,zihao,134064.0,105052.0,-29012.0
e,2021-11-25 17:31:04.958164,2021-11-25 17:31:05.080315,zihao,122151.0,178187.0,56036.0
s,2021-11-25 17:31:05.136351,2021-11-25 17:31:05.282365,zihao,146014.0,764838.0,618824.0
.,2021-11-25 17:31:05.901189,2021-11-25 17:31:06.000098,zihao,98909.0,218495.0,119586.0
[space],2021-11-25 17:31:06.119684,2021-11-25 17:31:06.222219,zihao,102535.0,127580.0,25045.0
[caps_lock],2021-11-25 17:31:06.247264,2021-11-25 17:31:06.366381,zihao,119117.0,116116.0,-3001.0
a,2021-11-25 17:31:06.363380,2021-11-25 17:31:06.508482,zihao,145102.0,57032.0,-88070.0
[caps_lock],2021-11-25 17:31:06.420412,2021-11-25 17:31:06.514482,zihao,94070.0,128070.0,34000.0
n,2021-11-25 17:31:06.548482,2021-11-25 17:31:06.667034,zihao,118552.0,154715.0,36163.0
d,2021-11-25 17:31:06.703197,2021-11-25 17:31:06.881648,zihao,178451.0,223351.0,44900.0
[space],2021-11-25 17:31:06.926548,2021-11-25 17:31:07.016616,zihao,90068.0,335020.0,244952.0
y,2021-11-25 17:31:07.261568,2021-11-25 17:31:07.361687,zihao,100119.0,72099.0,-28020.0
e,2021-11-25 17:31:07.333667,2021-11-25 17:31:07.467761,zihao,134094.0,121321.0,-12773.0
t,2021-11-25 17:31:07.454988,2021-11-25 17:31:07.583519,zihao,128531.0,366880.0,238349.0
[shift],2021-11-25 17:31:07.821868,2021-11-25 17:31:08.171810,zihao,349942.0,806513.0,456571.0
[space],2021-11-25 17:31:08.628381,2021-11-25 17:31:08.713242,zihao,84861.0,208246.0,123385.0
[caps_lock],2021-11-25 17:31:08.836627,2021-11-25 17:31:08.949819,zihao,113192.0,198284.0,85092.0
t,2021-11-25 17:31:09.034911,2021-11-25 17:31:09.157972,zihao,123061.0,182088.0,59027.0
[caps_lock],2021-11-25 17:31:09.216999,2021-11-25 17:31:09.344032,zihao,127033.0,111022.0,-16011.0
o,2021-11-25 17:31:09.328021,2021-11-25 17:31:09.444484,zihao,116463.0,180332.0,63869.0
[space],2021-11-25 17:31:09.508353,2021-11-25 17:31:09.613273,zihao,104920.0,402394.0,297474.0
t,2021-11-25 17:31:09.910747,2021-11-25 17:31:10.039911,zihao,129164.0,158164.0,29000.0
a,2021-11-25 17:31:10.068911,2021-11-25 17:31:10.192413,zihao,123502.0,491470.0,367968.0
k,2021-11-25 17:31:10.560381,2021-11-25 17:31:10.661373,zihao,100992.0,66960.0,-34032.0
