,key,pressed,released,user
317,i,2021-10-20 10:13:03 905610,2021-10-20 10:13:04 124324,Alex
123,n,2021-10-20 10:13:04 014955,2021-10-20 10:13:04 171187,Alex
132,g,2021-10-20 10:13:04 124324,2021-10-20 10:13:04 264901,Alex
89,[space],2021-10-20 10:13:04 218047,2021-10-20 10:13:04 343014,Alex
303,t,2021-10-20 10:13:04 374268,2021-10-20 10:13:04 483603,Alex
194,h,2021-10-20 10:13:04 452365,2021-10-20 10:13:04 561723,Alex
266,e,2021-10-20 10:13:04 561723,2021-10-20 10:13:04 733547,Alex
90,[space],2021-10-20 10:13:04 639832,2021-10-20 10:13:04 811663,Alex
304,t,2021-10-20 10:13:05 123991,2021-10-20 10:13:05 217814,Alex
374,w,2021-10-20 10:13:05 358409,2021-10-20 10:13:05 483371,Alex
173,o,2021-10-20 10:13:05 498995,2021-10-20 10:13:05 623974,Alex
91,[space],2021-10-20 10:13:05 717705,2021-10-20 10:13:05 827051,Alex
229,b,2021-10-20 10:13:05 967638,2021-10-20 10:13:06 076948,Alex
144,r,2021-10-20 10:13:06 092611,2021-10-20 10:13:06 217578,Alex
174,o,2021-10-20 10:13:06 217578,2021-10-20 10:13:06 326797,Alex
375,w,2021-10-20 10:13:06 342417,2021-10-20 10:13:06 467527,Alex
344,s,2021-10-20 10:13:06 592499,2021-10-20 10:13:06 701840,Alex
267,e,2021-10-20 10:13:06 795591,2021-10-20 10:13:06 920549,Alex
145,r,2021-10-20 10:13:06 873679,2021-10-20 10:13:06 998642,Alex
345,s,2021-10-20 10:13:07 029883,2021-10-20 10:13:07 201721,Alex
92,[space],2021-10-20 10:13:07 139244,2021-10-20 10:13:07 279697,Alex
230,b,2021-10-20 10:13:07 311062,2021-10-20 10:13:07 404801,Alex
175,o,2021-10-20 10:13:07 467287,2021-10-20 10:13:07 576504,Alex
305,t,2021-10-20 10:13:07 560880,2021-10-20 10:13:07 654742,Alex
195,h,2021-10-20 10:13:07 670229,2021-10-20 10:13:07 779705,Alex
93,[space],2021-10-20 10:13:07 779705,2021-10-20 10:13:07 904688,Alex
6,[maj],2021-10-20 10:13:07 967174,2021-10-20 10:13:08 170245,Alex
359,f,2021-10-20 10:13:08 060886,2021-10-20 10:13:08 170245,Alex
318,i,2021-10-20 10:13:08 232730,2021-10-20 10:13:08 357689,Alex
146,r,2021-10-20 10:13:08 451436,2021-10-20 10:13:08 607511,Alex
268,e,2021-10-20 10:13:08 560778,2021-10-20 10:13:08 638891,Alex
360,f,2021-10-20 10:13:08 779482,2021-10-20 10:13:08 906307,Alex
176,o,2021-10-20 10:13:09 015788,2021-10-20 10:13:09 140631,Alex
378,x,2021-10-20 10:13:09 140631,2021-10-20 10:13:09 265729,Alex
94,[space],2021-10-20 10:13:09 328213,2021-10-20 10:13:09 421960,Alex
32,a,2021-10-20 10:13:09 468810,2021-10-20 10:13:09 578174,Alex
124,n,2021-10-20 10:13:09 906150,2021-10-20 10:13:10 062413,Alex
384,d,2021-10-20 10:13:10 031173,2021-10-20 10:13:10 171775,Alex
95,[space],2021-10-20 10:13:10 124891,2021-10-20 10:13:10 218632,Alex
7,[maj],2021-10-20 10:13:10 234243,2021-10-20 10:13:10 374832,Alex
231,b,2021-10-20 10:13:10 296733,2021-10-20 10:13:10 405958,Alex
147,r,2021-10-20 10:13:10 437332,2021-10-20 10:13:10 546664,Alex
33,a,2021-10-20 10:13:10 562295,2021-10-20 10:13:10 718515,Alex
349,v,2021-10-20 10:13:10 781004,2021-10-20 10:13:10 952830,Alex
269,e,2021-10-20 10:13:10 921460,2021-10-20 10:13:11 062185,Alex
96,[space],2021-10-20 10:13:10 999697,2021-10-20 10:13:11 140272,Alex
177,o,2021-10-20 10:13:11 093422,2021-10-20 10:13:11 234022,Alex
361,f,2021-10-20 10:13:11 265263,2021-10-20 10:13:11 358979,Alex
362,f,2021-10-20 10:13:11 483937,2021-10-20 10:13:11 593304,Alex
270,e,2021-10-20 10:13:11 812013,2021-10-20 10:13:12 077553,Alex
148,r,2021-10-20 10:13:11 936908,2021-10-20 10:13:12 077553,Alex
