,key,pressed,released,user
331,s,2021-10-20 10:12:15 524846,2021-10-20 10:12:15 696684,Alex
44,[space],2021-10-20 10:12:15 634202,2021-10-20 10:12:15 759165,Alex
239,e,2021-10-20 10:12:15 821649,2021-10-20 10:12:15 964612,Alex
346,v,2021-10-20 10:12:15 964612,2021-10-20 10:12:16 105199,Alex
240,e,2021-10-20 10:12:16 089602,2021-10-20 10:12:16 261425,Alex
135,r,2021-10-20 10:12:16 230186,2021-10-20 10:12:16 308289,Alex
350,y,2021-10-20 10:12:16 402005,2021-10-20 10:12:16 480128,Alex
45,[space],2021-10-20 10:12:16 886284,2021-10-20 10:12:16 995629,Alex
199,l,2021-10-20 10:12:17 151830,2021-10-20 10:12:17 276811,Alex
241,e,2021-10-20 10:12:17 245572,2021-10-20 10:12:17 386153,Alex
278,t,2021-10-20 10:12:17 354917,2021-10-20 10:12:17 448649,Alex
279,t,2021-10-20 10:12:17 511132,2021-10-20 10:12:17 604851,Alex
242,e,2021-10-20 10:12:17 573613,2021-10-20 10:12:17 823554,Alex
136,r,2021-10-20 10:12:17 714212,2021-10-20 10:12:17 839176,Alex
46,[space],2021-10-20 10:12:17 792315,2021-10-20 10:12:17 921146,Alex
160,o,2021-10-20 10:12:18 108528,2021-10-20 10:12:18 264714,Alex
355,f,2021-10-20 10:12:18 249178,2021-10-20 10:12:18 374165,Alex
47,[space],2021-10-20 10:12:18 327301,2021-10-20 10:12:18 452260,Alex
280,t,2021-10-20 10:12:18 467881,2021-10-20 10:12:18 577242,Alex
182,h,2021-10-20 10:12:18 592863,2021-10-20 10:12:18 733322,Alex
243,e,2021-10-20 10:12:18 717823,2021-10-20 10:12:18 858432,Alex
48,[space],2021-10-20 10:12:18 780323,2021-10-20 10:12:18 920910,Alex
17,a,2021-10-20 10:12:19 217727,2021-10-20 10:12:19 358308,Alex
200,l,2021-10-20 10:12:19 327067,2021-10-20 10:12:19 436414,Alex
100,p,2021-10-20 10:12:19 530147,2021-10-20 10:12:19 608250,Alex
183,h,2021-10-20 10:12:19 733226,2021-10-20 10:12:19 858196,Alex
18,a,2021-10-20 10:12:19 858196,2021-10-20 10:12:20 029917,Alex
224,b,2021-10-20 10:12:20 092514,2021-10-20 10:12:20 217478,Alex
244,e,2021-10-20 10:12:20 233095,2021-10-20 10:12:20 436077,Alex
281,t,2021-10-20 10:12:20 358078,2021-10-20 10:12:20 498648,Alex
