key,user,hold_time,press_press_time,press_release_time,release_release_time
e,alex,202982.0,124983.0,-77999.0,62571.0
t,alex,140570.0,93717.0,-46853.0,78123.0
[space],alex,124976.0,140492.0,15516.0,171821.0
a,alex,156305.0,109449.0,-46856.0,78123.0
t,alex,124979.0,124979.0,0.0,135748.0
[space],alex,135748.0,135748.0,0.0,124970.0
l,alex,124970.0,93862.0,-31108.0,124977.0
e,alex,156085.0,93719.0,-62366.0,62480.0
a,alex,124846.0,109362.0,-15484.0,140719.0
s,alex,156203.0,171824.0,15621.0,170237.0
t,alex,154616.0,100089.0,-54527.0,56968.0
[space],alex,111495.0,80115.0,-31380.0,171820.0
o,alex,203200.0,109483.0,-93717.0,46743.0
n,alex,140460.0,140460.0,0.0,187580.0
c,alex,187580.0,140592.0,-46988.0,156223.0
e,alex,203211.0,93729.0,-109482.0,49256.0
[space],alex,158738.0,321681.0,162943.0,334781.0
[maj],alex,171838.0,109347.0,-62491.0,15492.0
t,alex,77983.0,109344.0,31361.0,156203.0
h,alex,124842.0,140461.0,15619.0,156343.0
a,alex,140724.0,359428.0,218704.0,281173.0
[backspace],alex,62469.0,46855.0,-15614.0,140606.0
e,alex,156220.0,78093.0,-78127.0,78103.0
[space],alex,156230.0,156230.0,0.0,124977.0
m,alex,124977.0,203082.0,78105.0,187440.0
o,alex,109335.0,93717.0,-15618.0,109363.0
s,alex,124981.0,156224.0,31243.0,140577.0
t,alex,109334.0,78102.0,-31232.0,62420.0
[space],alex,93652.0,171839.0,78187.0,187525.0
f,alex,109338.0,249943.0,140605.0,265559.0
a,alex,124954.0,203079.0,78125.0,203089.0
m,alex,124964.0,234317.0,109353.0,314681.0
o,alex,205328.0,142848.0,-62480.0,78002.0
u,alex,140482.0,156196.0,15714.0,218794.0
s,alex,203080.0,124984.0,-78096.0,62506.0
[space],alex,140602.0,577983.0,437381.0,531119.0
p,alex,93738.0,156221.0,62483.0,156197.0
a,alex,93714.0,93714.0,0.0,93743.0
n,alex,93743.0,187476.0,93733.0,187324.0
g,alex,93591.0,203072.0,109481.0,203209.0
r,alex,93728.0,62480.0,-31248.0,62352.0
a,alex,93600.0,62478.0,-31122.0,93862.0
m,alex,124984.0,156224.0,31240.0,124955.0
[space],alex,93715.0,124873.0,31158.0,156217.0
i,alex,125059.0,125059.0,0.0,124848.0
s,alex,124848.0,78110.0,-46738.0,78247.0
[space],alex,124985.0,218703.0,93718.0,203073.0
p,alex,109355.0,156223.0,46868.0,156203.0
r,alex,109335.0,408518.0,299183.0,405074.0
o,alex,105891.0,152761.0,46870.0,171845.0
b,alex,124975.0,312431.0,187456.0,315282.0
a,alex,127826.0,143313.0,15487.0,93724.0
b,alex,78237.0,78237.0,0.0,124838.0
l,alex,124838.0,312421.0,187583.0,343805.0
y,alex,156222.0,211963.0,55741.0,149609.0
[space],alex,93868.0,156347.0,62479.0,171698.0
t,alex,109219.0,78088.0,-31131.0,78104.0
h,alex,109235.0,124889.0,15654.0,203214.0
e,alex,187560.0,93820.0,-93740.0,62482.0
[space],alex,156222.0,593628.0,437406.0,546746.0
t,alex,109340.0,109340.0,0.0,124871.0
h,alex,124871.0,296811.0,171940.0,328148.0
i,alex,156208.0,156208.0,0.0,93738.0
r,alex,93738.0,203088.0,109350.0,203060.0
t,alex,93710.0,296798.0,203088.0,343665.0
y,alex,140577.0,421777.0,281200.0,390545.0
[space],alex,109345.0,187458.0,78113.0,171816.0
f,alex,93703.0,77970.0,-15733.0,124986.0
i,alex,140719.0,203210.0,62491.0,218708.0
v,alex,156217.0,93730.0,-62487.0,109331.0
e,alex,171818.0,93721.0,-78097.0,62502.0
[space],alex,140599.0,281178.0,140579.0,265557.0
l,alex,124978.0,109223.0,-15755.0,140587.0
e,alex,156342.0,93863.0,-62479.0,31238.0
t,alex,93717.0,156217.0,62500.0,187460.0
t,alex,124960.0,93724.0,-31236.0,171706.0
e,alex,202942.0,124950.0,-77992.0,46864.0
r,alex,124856.0,62506.0,-62350.0,62614.0
[space],alex,124964.0,93725.0,-31239.0,46858.0
l,alex,78097.0,203110.0,125013.0,359303.0
o,alex,234290.0,124926.0,-109364.0,31242.0
n,alex,140606.0,93743.0,-46863.0,109338.0
g,alex,156201.0,109342.0,-46859.0,78120.0
[space],alex,124979.0,296817.0,171838.0,390524.0
[maj],alex,218686.0,140588.0,-78098.0,15618.0
t,alex,93716.0,156190.0,62474.0,187464.0
h,alex,124990.0,93750.0,-31240.0,140599.0
e,alex,171839.0,109345.0,-62494.0,78004.0
[space],alex,140498.0,281190.0,140692.0,265658.0
q,alex,124966.0,78104.0,-46862.0,109217.0
u,alex,156079.0,109344.0,-46735.0,78132.0
i,alex,124867.0,124867.0,0.0,78220.0
c,alex,78220.0,140696.0,62476.0,187351.0
k,alex,124875.0,109356.0,-15519.0,109444.0
[space],alex,124963.0,328051.0,203088.0,312418.0
b,alex,109330.0,159426.0,50096.0,175202.0
r,alex,125106.0,203215.0,78109.0,187457.0
o,alex,109348.0,156213.0,46865.0,171826.0
w,alex,124961.0,218698.0,93737.0,203080.0
n,alex,109343.0,343668.0,234325.0,359161.0
[space],alex,124836.0,296799.0,171963.0,234440.0
g,alex,62477.0,109357.0,46880.0,156224.0
o,alex,109344.0,234217.0,124873.0,312432.0
x,alex,187559.0,187559.0,0.0,109349.0
[space],alex,109349.0,171832.0,62483.0,124960.0
