key,user,hold_time,press_press_time,press_release_time,release_release_time
b,stefan,100737.0,117726.0,16989.0,128192.0
e,stefan,111203.0,127577.0,16374.0,96323.0
t,stefan,79949.0,152339.0,72390.0,183973.0
[space],stefan,111583.0,84798.0,-26785.0,91350.0
a,stefan,118135.0,296381.0,178246.0,274499.0
t,stefan,96253.0,112875.0,16622.0,117833.0
[space],stefan,101211.0,221596.0,120385.0,210946.0
l,stefan,90561.0,42059.0,-48502.0,96208.0
e,stefan,144710.0,184901.0,40191.0,205079.0
a,stefan,164888.0,100963.0,-63925.0,80644.0
s,stefan,144569.0,96685.0,-47884.0,58779.0
t,stefan,106663.0,156840.0,50177.0,150803.0
[space],stefan,100626.0,194752.0,94126.0,291813.0
o,stefan,197687.0,124549.0,-73138.0,54385.0
n,stefan,127523.0,244638.0,117115.0,287468.0
c,stefan,170353.0,95160.0,-75193.0,79689.0
e,stefan,154882.0,717617.0,562735.0,647504.0
[space],stefan,84769.0,195335.0,110566.0,297664.0
[shift],stefan,187098.0,124221.0,-62877.0,10662.0
t,stefan,73539.0,176214.0,102675.0,192796.0
h,stefan,90121.0,85675.0,-4446.0,118293.0
e,stefan,122739.0,112405.0,-10334.0,64444.0
[space],stefan,74778.0,174803.0,100025.0,260888.0
m,stefan,160863.0,96551.0,-64312.0,20433.0
o,stefan,84745.0,79722.0,-5023.0,113385.0
s,stefan,118408.0,153267.0,34859.0,98770.0
t,stefan,63911.0,1107338.0,1043427.0,1144842.0
[space],stefan,101415.0,558244.0,456829.0,606756.0
f,stefan,149927.0,85909.0,-64018.0,86067.0
a,stefan,150085.0,155316.0,5231.0,181835.0
m,stefan,176604.0,106805.0,-69799.0,165929.0
o,stefan,235728.0,176306.0,-59422.0,58102.0
u,stefan,117524.0,112917.0,-4607.0,91612.0
t,stefan,96219.0,106847.0,10628.0,122939.0
[space],stefan,112311.0,814957.0,702646.0,772138.0
[backspace],stefan,69492.0,142340.0,72848.0,147768.0
[backspace],stefan,74920.0,58965.0,-15955.0,96768.0
s,stefan,112723.0,164903.0,52180.0,137856.0
[space],stefan,85676.0,1483197.0,1397521.0,1488642.0
p,stefan,91121.0,653590.0,562469.0,653195.0
a,stefan,90726.0,134200.0,43474.0,144641.0
n,stefan,101167.0,215796.0,114629.0,194853.0
g,stefan,80224.0,156099.0,75875.0,160557.0
r,stefan,84682.0,109167.0,24485.0,141696.0
a,stefan,117211.0,160971.0,43760.0,134503.0
m,stefan,90743.0,228565.0,137822.0,223050.0
[space],stefan,85228.0,153815.0,68587.0,154903.0
i,stefan,86316.0,80384.0,-5932.0,106588.0
s,stefan,112520.0,91552.0,-20968.0,80568.0
[space],stefan,101536.0,233566.0,132030.0,227951.0
p,stefan,95921.0,222063.0,126142.0,206472.0
o,stefan,80330.0,207487.0,127157.0,196740.0
b,stefan,69583.0,709866.0,640283.0,698956.0
[backspace],stefan,58673.0,138146.0,79473.0,159992.0
[backspace],stefan,80519.0,107091.0,26572.0,160968.0
r,stefan,134396.0,129196.0,-5200.0,101407.0
o,stefan,106607.0,246374.0,139767.0,230174.0
b,stefan,90407.0,125174.0,34767.0,146383.0
a,stefan,111616.0,101675.0,-9941.0,91799.0
b,stefan,101740.0,285221.0,183481.0,273688.0
l,stefan,90207.0,255820.0,165613.0,257084.0
y,stefan,91471.0,197155.0,105684.0,207152.0
[space],stefan,101468.0,218955.0,117487.0,217304.0
t,stefan,99817.0,58170.0,-41647.0,81258.0
h,stefan,122905.0,188264.0,65359.0,166849.0
e,stefan,101490.0,69588.0,-31902.0,64328.0
[space],stefan,96230.0,217236.0,121006.0,211830.0
l,stefan,90824.0,335928.0,245104.0,324958.0
[backspace],stefan,79854.0,715088.0,635234.0,725703.0
t,stefan,90469.0,63500.0,-26969.0,155451.0
h,stefan,182420.0,107532.0,-74888.0,64190.0
i,stefan,139078.0,215016.0,75938.0,193289.0
r,stefan,117351.0,341387.0,224036.0,314920.0
t,stefan,90884.0,239409.0,148525.0,191481.0
y,stefan,42956.0,905850.0,862894.0,964145.0
[space],stefan,101251.0,268235.0,166984.0,252862.0
f,stefan,85878.0,64636.0,-21242.0,85506.0
i,stefan,106748.0,153340.0,46592.0,175089.0
v,stefan,128497.0,64609.0,-63888.0,69642.0
e,stefan,133530.0,80099.0,-53431.0,32001.0
[space],stefan,85432.0,195569.0,110137.0,195936.0
l,stefan,85799.0,96576.0,10777.0,117461.0
e,stefan,106684.0,155772.0,49088.0,118245.0
t,stefan,69157.0,139750.0,70593.0,156026.0
t,stefan,85433.0,69339.0,-16094.0,91239.0
e,stefan,107333.0,192698.0,85365.0,165444.0
r,stefan,80079.0,48369.0,-31710.0,90674.0
[space],stefan,122384.0,267114.0,144730.0,294514.0
l,stefan,149784.0,85483.0,-64301.0,79948.0
o,stefan,144249.0,222079.0,77830.0,174381.0
n,stefan,96551.0,112353.0,15802.0,122282.0
g,stefan,106480.0,96248.0,-10232.0,85856.0
[space],stefan,96088.0,151853.0,55765.0,141113.0
t,stefan,85348.0,90783.0,5435.0,117346.0
h,stefan,111911.0,191915.0,80004.0,185724.0
e,stefan,105720.0,116665.0,10945.0,123216.0
[space],stefan,112271.0,297473.0,185202.0,312947.0
q,stefan,127745.0,106586.0,-21159.0,75444.0
u,stefan,96603.0,179108.0,82505.0,189689.0
i,stefan,107184.0,112178.0,4994.0,166274.0
c,stefan,161280.0,188399.0,27119.0,112821.0
k,stefan,85702.0,184062.0,98360.0,178125.0
[space],stefan,79765.0,197797.0,118032.0,197377.0
b,stefan,79345.0,75125.0,-4220.0,155287.0
r,stefan,159507.0,133565.0,-25942.0,106996.0
o,stefan,132938.0,253407.0,120469.0,254348.0
w,stefan,133879.0,157965.0,24086.0,125280.0
n,stefan,101194.0,193205.0,92011.0,188210.0
[space],stefan,96199.0,224765.0,128566.0,213734.0
g,stefan,85168.0,136242.0,51074.0,158381.0
o,stefan,107307.0,559260.0,451953.0,532135.0
[backspace],stefan,80182.0,144866.0,64684.0,133700.0
[backspace],stefan,69016.0,80039.0,11023.0,128368.0
f,stefan,117345.0,122339.0,4994.0,118058.0
o,stefan,113064.0,86154.0,-26910.0,85032.0
x,stefan,111942.0,101957.0,-9985.0,112795.0
[space],stefan,122780.0,0.0,0.0,0.0
