key,pressed,released,user,hold_time,press_press_time,press_release_time
[space],2021-10-20 11:10:13.120859,2021-10-20 11:10:13.172889,zineb,52030.0,82536.0,30506.0
s,2021-10-20 11:10:13.203395,2021-10-20 11:10:13.256945,zineb,53550.0,262952.0,209402.0
e,2021-10-20 11:10:13.466347,2021-10-20 11:10:13.537918,zineb,71571.0,188499.0,116928.0
n,2021-10-20 11:10:13.654846,2021-10-20 11:10:13.713141,zineb,58295.0,103953.0,45658.0
t,2021-10-20 11:10:13.758799,2021-10-20 11:10:13.866102,zineb,107303.0,68041.0,-39262.0
e,2021-10-20 11:10:13.826840,2021-10-20 11:10:13.918011,zineb,91171.0,112590.0,21419.0
n,2021-10-20 11:10:13.939430,2021-10-20 11:10:14.004814,zineb,65384.0,78457.0,13073.0
c,2021-10-20 11:10:14.017887,2021-10-20 11:10:14.137654,zineb,119767.0,72672.0,-47095.0
e,2021-10-20 11:10:14.090559,2021-10-20 11:10:14.186652,zineb,96093.0,133098.0,37005.0
[space],2021-10-20 11:10:14.223657,2021-10-20 11:10:14.279469,zineb,55812.0,184899.0,129087.0
t,2021-10-20 11:10:14.408556,2021-10-20 11:10:14.463500,zineb,54944.0,88908.0,33964.0
h,2021-10-20 11:10:14.497464,2021-10-20 11:10:14.556764,zineb,59300.0,64866.0,5566.0
a,2021-10-20 11:10:14.562330,2021-10-20 11:10:14.645516,zineb,83186.0,86349.0,3163.0
t,2021-10-20 11:10:14.648679,2021-10-20 11:10:14.704306,zineb,55627.0,63484.0,7857.0
[space],2021-10-20 11:10:14.712163,2021-10-20 11:10:14.769954,zineb,57791.0,100526.0,42735.0
c,2021-10-20 11:10:14.812689,2021-10-20 11:10:14.873689,zineb,61000.0,65014.0,4014.0
o,2021-10-20 11:10:14.877703,2021-10-20 11:10:14.980966,zineb,103263.0,55146.0,-48117.0
n,2021-10-20 11:10:14.932849,2021-10-20 11:10:15.031004,zineb,98155.0,79300.0,-18855.0
t,2021-10-20 11:10:15.012149,2021-10-20 11:10:15.111592,zineb,99443.0,56421.0,-43022.0
a,2021-10-20 11:10:15.068570,2021-10-20 11:10:15.138595,zineb,70025.0,74024.0,3999.0
i,2021-10-20 11:10:15.142594,2021-10-20 11:10:15.264593,zineb,121999.0,79997.0,-42002.0
n,2021-10-20 11:10:15.222591,2021-10-20 11:10:15.294788,zineb,72197.0,76166.0,3969.0
s,2021-10-20 11:10:15.298757,2021-10-20 11:10:15.360518,zineb,61761.0,139463.0,77702.0
[space],2021-10-20 11:10:15.438220,2021-10-20 11:10:15.508005,zineb,69785.0,119333.0,49548.0
e,2021-10-20 11:10:15.557553,2021-10-20 11:10:15.641127,zineb,83574.0,109968.0,26394.0
v,2021-10-20 11:10:15.667521,2021-10-20 11:10:15.795582,zineb,128061.0,74673.0,-53388.0
e,2021-10-20 11:10:15.742194,2021-10-20 11:10:15.858184,zineb,115990.0,94941.0,-21049.0
r,2021-10-20 11:10:15.837135,2021-10-20 11:10:15.917139,zineb,80004.0,62001.0,-18003.0
y,2021-10-20 11:10:15.899136,2021-10-20 11:10:15.938339,zineb,39203.0,480662.0,441459.0
[space],2021-10-20 11:10:16.379798,2021-10-20 11:10:16.453893,zineb,74095.0,153235.0,79140.0
l,2021-10-20 11:10:16.533033,2021-10-20 11:10:16.594400,zineb,61367.0,46363.0,-15004.0
e,2021-10-20 11:10:16.579396,2021-10-20 11:10:16.614403,zineb,35007.0,99656.0,64649.0
t,2021-10-20 11:10:16.679052,2021-10-20 11:10:16.725042,zineb,45990.0,128985.0,82995.0
t,2021-10-20 11:10:16.808037,2021-10-20 11:10:16.887016,zineb,78979.0,51727.0,-27252.0
e,2021-10-20 11:10:16.859764,2021-10-20 11:10:17.013119,zineb,153355.0,124580.0,-28775.0
r,2021-10-20 11:10:16.984344,2021-10-20 11:10:17.064988,zineb,80644.0,70491.0,-10153.0
[space],2021-10-20 11:10:17.054835,2021-10-20 11:10:17.089827,zineb,34992.0,130597.0,95605.0
o,2021-10-20 11:10:17.185432,2021-10-20 11:10:17.245429,zineb,59997.0,65010.0,5013.0
f,2021-10-20 11:10:17.250442,2021-10-20 11:10:17.304428,zineb,53986.0,75415.0,21429.0
[space],2021-10-20 11:10:17.325857,2021-10-20 11:10:17.382460,zineb,56603.0,93014.0,36411.0
t,2021-10-20 11:10:17.418871,2021-10-20 11:10:17.472091,zineb,53220.0,56936.0,3716.0
h,2021-10-20 11:10:17.475807,2021-10-20 11:10:17.544813,zineb,69006.0,97278.0,28272.0
e,2021-10-20 11:10:17.573085,2021-10-20 11:10:17.632254,zineb,59169.0,85199.0,26030.0
[space],2021-10-20 11:10:17.658284,2021-10-20 11:10:17.706411,zineb,48127.0,101497.0,53370.0
a,2021-10-20 11:10:17.759781,2021-10-20 11:10:17.818865,zineb,59084.0,48111.0,-10973.0
l,2021-10-20 11:10:17.807892,2021-10-20 11:10:17.865865,zineb,57973.0,154069.0,96096.0
p,2021-10-20 11:10:17.961961,2021-10-20 11:10:18.042386,zineb,80425.0,159078.0,78653.0
h,2021-10-20 11:10:18.121039,2021-10-20 11:10:18.183896,zineb,62857.0,171130.0,108273.0
b,2021-10-20 11:10:18.292169,2021-10-20 11:10:18.341205,zineb,49036.0,122231.0,73195.0
a,2021-10-20 11:10:18.414400,2021-10-20 11:10:18.480136,zineb,65736.0,209020.0,143284.0
[backspace],2021-10-20 11:10:18.623420,2021-10-20 11:10:18.679384,zineb,55964.0,121051.0,65087.0
[backspace],2021-10-20 11:10:18.744471,2021-10-20 11:10:18.802382,zineb,57911.0,76285.0,18374.0
