user,hold_time,press_press_time,press_release_time
zihao,152016.0,136023.0,-15993.0
zihao,171187.0,542199.0,371012.0
zihao,96342.0,176016.0,79674.0
zihao,96010.0,416063.0,320053.0
zihao,160506.0,120524.0,-39982.0
zihao,128540.0,112540.0,-16000.0
zihao,112033.0,120020.0,7987.0
zihao,128024.0,128024.0,0.0
zihao,120458.0,160664.0,40206.0
zihao,132094.0,209958.0,77864.0
zihao,144044.0,168011.0,23967.0
zihao,122747.0,276072.0,153325.0
zihao,167842.0,135827.0,-32015.0
zihao,144937.0,241094.0,96157.0
zihao,104176.0,144201.0,40025.0
zihao,153657.0,145859.0,-7798.0
zihao,112474.0,154912.0,42438.0
zihao,135997.0,204815.0,68818.0
zihao,128032.0,458433.0,330401.0
zihao,152028.0,576064.0,424036.0
zihao,152716.0,244440.0,91724.0
zihao,120563.0,192750.0,72187.0
zihao,114728.0,331401.0,216673.0
zihao,139729.0,131741.0,-7988.0
zihao,128280.0,200618.0,72338.0
zihao,140465.0,300540.0,160075.0
zihao,152607.0,96626.0,-55981.0
zihao,144166.0,742238.0,598072.0
zihao,88051.0,176075.0,88024.0
zihao,88044.0,80063.0,-7981.0
zihao,119999.0,96201.0,-23798.0
zihao,135826.0,79815.0,-56011.0
zihao,137544.0,478475.0,340931.0
zihao,111314.0,175793.0,64479.0
zihao,104009.0,232020.0,128011.0
zihao,129138.0,176828.0,47690.0
zihao,153024.0,361398.0,208374.0
zihao,120362.0,436584.0,316222.0
zihao,103835.0,136156.0,32321.0
zihao,128193.0,328217.0,200024.0
zihao,130915.0,106902.0,-24013.0
zihao,152590.0,216595.0,64005.0
zihao,200002.0,288020.0,88018.0
zihao,137329.0,204686.0,67357.0
zihao,131406.0,263977.0,132571.0
zihao,152214.0,276757.0,124543.0
zihao,56242.0,48252.0,-7990.0
zihao,88544.0,408553.0,320009.0
zihao,144612.0,232496.0,87884.0
zihao,112552.0,1142280.0,1029728.0
zihao,130463.0,138470.0,8007.0
zihao,136194.0,168024.0,31830.0
zihao,144497.0,275443.0,130946.0
zihao,160012.0,208022.0,48010.0
zihao,144271.0,713771.0,569500.0
zihao,153309.0,137009.0,-16300.0
zihao,105289.0,532299.0,427010.0
zihao,103997.0,79994.0,-24003.0
zihao,129414.0,121395.0,-8019.0
zihao,132217.0,478536.0,346319.0
zihao,80028.0,129181.0,49153.0
zihao,120057.0,235855.0,115798.0
zihao,128320.0,216557.0,88237.0
zihao,139455.0,171267.0,31812.0
zihao,137474.0,137474.0,0.0
zihao,136494.0,144302.0,7808.0
zihao,136760.0,209386.0,72626.0
zihao,128022.0,175835.0,47813.0
zihao,169347.0,161657.0,-7690.0
zihao,162423.0,218503.0,56080.0
zihao,116840.0,171531.0,54691.0
zihao,104912.0,64886.0,-40026.0
zihao,144890.0,104646.0,-40244.0
zihao,117562.0,157353.0,39791.0
zihao,136012.0,96192.0,-39820.0
zihao,144219.0,184497.0,40278.0
zihao,104883.0,128630.0,23747.0
zihao,128505.0,168460.0,39955.0
zihao,151876.0,112065.0,-39811.0
zihao,146792.0,130782.0,-16010.0
zihao,104567.0,227511.0,122944.0
zihao,141055.0,156861.0,15806.0
zihao,136551.0,80198.0,-56353.0
zihao,113319.0,161324.0,48005.0
zihao,131470.0,179483.0,48013.0
